cq_id,fault_id,fault_name_zh,role,role_name_zh,question_zh,semantic_path_answer_count_before_evidence_gate,answer_count,claim_count,instantiated_legal_metapath_count,evidence_assertion_count,document_count,source_family_count,structurally_answerable,traceable_structure_answerability,reason_codes,unanswerable_reason_codes,unanswerable_reason,metapath_ids,document_ids,source_family_ids
CQ-F01-SYM,cavitation,汽蚀,symptom,症状,“汽蚀”有哪些可追溯的故障表现、症状或信号特征？,6,6,6,2,6,4,3,True,1.0,,,,SYM-MANIFESTS-AS;SYM-INDICATES-REVERSE,MP004;MP005;MP015;MP016,DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO
CQ-F01-CAUSE,cavitation,汽蚀,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“汽蚀”有关并形成可追溯因果证据？,6,6,7,1,7,3,3,True,1.0,,,,CAUSE-CAUSES,MP004;MP016;MP018,DESMI;PATTERSON_PUMP;XYLEM__JABSCO
CQ-F01-INS,cavitation,汽蚀,inspection,检查,针对“汽蚀”可采用哪些有原文依据的检查或诊断方法？,0,0,0,0,0,0,0,False,0.0,no_legal_semantic_path,no_legal_semantic_path,冻结的本体类型和合法元路径下不存在目标故障—角色语义答案路径。,,,
CQ-F01-MAINT,cavitation,汽蚀,maintenance,维护,针对“汽蚀”可采取哪些有原文依据的维护、缓解或预防措施？,1,1,4,1,4,1,1,True,1.0,,,,MAINT-PREVENTED-BY,MP005,DESMI
CQ-F02-SYM,air_ingress_or_loss_of_prime,空气侵入或失去自吸,symptom,症状,“空气侵入或失去自吸”有哪些可追溯的故障表现、症状或信号特征？,0,0,0,0,0,0,0,False,0.0,no_legal_semantic_path,no_legal_semantic_path,冻结的本体类型和合法元路径下不存在目标故障—角色语义答案路径。,,,
CQ-F02-CAUSE,air_ingress_or_loss_of_prime,空气侵入或失去自吸,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“空气侵入或失去自吸”有关并形成可追溯因果证据？,13,13,18,1,19,4,3,True,1.0,,,,CAUSE-CAUSES,MP004;MP005;MP018;MP020,DESMI;INDICOR__CORNELL_PUMP;PATTERSON_PUMP
CQ-F02-INS,air_ingress_or_loss_of_prime,空气侵入或失去自吸,inspection,检查,针对“空气侵入或失去自吸”可采用哪些有原文依据的检查或诊断方法？,0,0,0,0,0,0,0,False,0.0,no_legal_semantic_path,no_legal_semantic_path,冻结的本体类型和合法元路径下不存在目标故障—角色语义答案路径。,,,
CQ-F02-MAINT,air_ingress_or_loss_of_prime,空气侵入或失去自吸,maintenance,维护,针对“空气侵入或失去自吸”可采取哪些有原文依据的维护、缓解或预防措施？,5,5,5,2,5,2,2,True,1.0,,,,MAINT-MITIGATED-BY;MAINT-PREVENTED-BY,MP004;MP018,DESMI;PATTERSON_PUMP
CQ-F03-SYM,hydraulic_blockage,流道、叶轮、过滤器或管路堵塞,symptom,症状,“流道、叶轮、过滤器或管路堵塞”有哪些可追溯的故障表现、症状或信号特征？,0,0,0,0,0,0,0,False,0.0,no_legal_semantic_path,no_legal_semantic_path,冻结的本体类型和合法元路径下不存在目标故障—角色语义答案路径。,,,
CQ-F03-CAUSE,hydraulic_blockage,流道、叶轮、过滤器或管路堵塞,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“流道、叶轮、过滤器或管路堵塞”有关并形成可追溯因果证据？,9,9,11,1,12,6,4,True,1.0,,,,CAUSE-CAUSES,MP001;MP003;MP004;MP005;MP016;MP017,ABS;DESMI;GORMAN_RUPP;XYLEM__JABSCO
CQ-F03-INS,hydraulic_blockage,流道、叶轮、过滤器或管路堵塞,inspection,检查,针对“流道、叶轮、过滤器或管路堵塞”可采用哪些有原文依据的检查或诊断方法？,3,3,3,1,3,3,3,True,1.0,,,,INS-INSPECTED-BY,MP005;MP015;MP018,DESMI;PATTERSON_PUMP;SPX_FLOW__JOHNSON_PUMP
CQ-F03-MAINT,hydraulic_blockage,流道、叶轮、过滤器或管路堵塞,maintenance,维护,针对“流道、叶轮、过滤器或管路堵塞”可采取哪些有原文依据的维护、缓解或预防措施？,1,1,1,1,1,1,1,True,1.0,,,,MAINT-PREVENTED-BY,MP003,ABS
CQ-F04-SYM,impeller_or_wear_part_damage,叶轮或耐磨部件磨损损坏,symptom,症状,“叶轮或耐磨部件磨损损坏”有哪些可追溯的故障表现、症状或信号特征？,2,2,2,2,2,2,2,True,1.0,,,,SYM-MANIFESTS-AS;SYM-INDICATES-REVERSE,MP004;MP015,DESMI;SPX_FLOW__JOHNSON_PUMP
CQ-F04-CAUSE,impeller_or_wear_part_damage,叶轮或耐磨部件磨损损坏,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“叶轮或耐磨部件磨损损坏”有关并形成可追溯因果证据？,6,6,6,1,6,4,4,True,1.0,,,,CAUSE-CAUSES,MP004;MP015;MP016;MP020,DESMI;INDICOR__CORNELL_PUMP;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO
CQ-F04-INS,impeller_or_wear_part_damage,叶轮或耐磨部件磨损损坏,inspection,检查,针对“叶轮或耐磨部件磨损损坏”可采用哪些有原文依据的检查或诊断方法？,3,3,3,1,3,3,3,True,1.0,,,,INS-INSPECTED-BY,MP015;MP016;MP018,PATTERSON_PUMP;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO
CQ-F04-MAINT,impeller_or_wear_part_damage,叶轮或耐磨部件磨损损坏,maintenance,维护,针对“叶轮或耐磨部件磨损损坏”可采取哪些有原文依据的维护、缓解或预防措施？,6,6,6,1,6,3,3,True,1.0,,,,MAINT-MAINTAINED-BY,MP015;MP016;MP018,PATTERSON_PUMP;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO
CQ-F05-SYM,mechanical_seal_failure,机械密封失效与泄漏,symptom,症状,“机械密封失效与泄漏”有哪些可追溯的故障表现、症状或信号特征？,2,2,2,1,2,2,2,True,1.0,,,,SYM-MANIFESTS-AS,MP007;MP022,ALFA_LAVAL;DESMI
