source_id,candidate_object,document_title,publisher,document_type,source_url,public_download,local_file,systems_equipment,fault_types,has_symptoms,has_causes_mechanisms,has_inspection,has_maintenance,triple_extraction_suitability,notes
MP001,船舶机舱泵系,Guidance Notes on Equipment Condition Monitoring Techniques,ABS,船级社指南,https://ww2.eagle.org/content/dam/eagle/rules-and-guides/current/design_and_analysis/224-GN-EquipCndMonitoring/Equipment_Condition_Monitoring_GN_e.pdf,是,data/source_docs/marine_pump/raw/ABS_Equipment_Condition_Monitoring_2016.pdf,泵;电机;压缩机;风机;轴承,振动异常;温升;润滑异常;磨损,是,是,是,是,高,给出监测技术、报警阈值和维护决策框架
MP002,船舶机舱泵系,Guide for Surveys Based on Machinery Reliability and Maintenance Techniques,ABS,船级社指南,https://ww2.eagle.org/content/dam/eagle/rules-and-guides/current/survey_and_inspection/121-guide-for-surveys-based-on-machinery-reliability-and-maintenance-techniques/MRM_Guide_e-Jan23.pdf,是,data/source_docs/marine_pump/raw/ABS_Machinery_Reliability_Maintenance_2023.pdf,船舶机械;机械部件;管路;阀件,裂纹;磨损;腐蚀;松动;泄漏;堵塞;振动,部分,是,是,是,高,附录提供船舶机械部件建议失效模式
MP003,船舶机舱泵系,Marine Vessel Rules Part 4 Vessel Systems and Machinery,ABS,船级社规范,https://ww2.eagle.org/content/dam/eagle/rules-and-guides/archives/other/1_marinevesselrules_20211/mvr-part-4-jan21.pdf,是,data/source_docs/marine_pump/raw/ABS_Marine_Vessel_Rules_Part4_2021.pdf,泵;电机;冷却;润滑;管路;报警系统,低压;高温;过滤器压差;泵失效;泄漏,是,部分,是,是,中高,规范性强但篇幅大，需要按章节定向抽取
MP004,船舶机舱泵系,DESMI SA Self-priming Centrifugal Pump T1345 Operation and Maintenance Instructions,DESMI,船用泵厂商手册,https://www.desmi.com/media/4num3fbn/t1345uk.pdf,是,data/source_docs/marine_pump/raw/DESMI_SA_Self_Priming_Pump_T1345.pdf,自吸离心泵;电机;联轴器;轴承;密封,失去自吸;流量不足;汽蚀;过载;不对中;噪声;泄漏,是,是,是,是,很高,包含结构化 FAULT-CAUSE-REMEDY 表，是 Silver Evidence 核心来源
MP005,船舶机舱泵系,DESMI NSL Monobloc and Spacer T1542,DESMI,船用泵厂商手册,https://www.desmi.com/media/dx1lnug1/t1542uk.pdf,是,data/source_docs/marine_pump/raw/DESMI_NSL_Pump_T1542.pdf,船舶冷却泵;舱底泵;压载泵;消防泵,低流量;汽蚀;轴承磨损;密封故障;不对中;堵塞,是,是,是,是,很高,船舶应用明确且包含安装、检查、维护和故障排查
MP006,船舶机舱泵系,Guidelines for Pump Installation,DESMI,安装技术指南,https://www.desmi.com/media/sd5ltlox/guidelines_uk.pdf,是,data/source_docs/marine_pump/raw/DESMI_Pump_Installation_Guidelines.pdf,泵;电机;基础;联轴器;吸入和排出管路,不对中;管路应力;吸入不良;汽蚀;振动,部分,是,是,是,高,适合抽取安装原因到故障的机理路径
MP007,船舶机舱泵系,Vertical Multistage Centrifugal Pump T1536 Operation and Maintenance Instructions,DESMI,泵厂商手册,https://www.desmi.com/media/c35h1n0d/t1536uk.pdf,是,data/source_docs/marine_pump/raw/DESMI_Vertical_Multistage_T1536.pdf,多级离心泵;电机;叶轮;轴承,不启动;低流量;过载;异常振动;堵塞,是,是,是,是,高,含故障排查章节，可补充多级泵证据
MP008,船舶机舱泵系,Grundfos Firefighting Systems Installation and Operating Instructions,Grundfos,消防泵组手册,https://api.grundfos.com/literature/Grundfosliterature-2965227.pdf,是,data/source_docs/marine_pump/raw/Grundfos_Fire_Pump_Instructions.pdf,消防泵;柴油机;电机;吸入管路,不出水;流量不足;汽蚀;堵塞;空气吸入;反转,是,是,是,是,很高,含清晰故障-原因-措施表，作为跨厂商佐证
MP009,船舶机舱泵系,Sulzer GWP Pump Installation Operation and Maintenance Instructions,Sulzer,泵厂商手册,https://www.sulzer.com/-/media/files/products/pumps/submersible-pumps/product-information/submersible-light-and-medium-duty-pumps/submersible-drainage-pump-gwp/manuals/310190201001_en_00.pdf,是,data/source_docs/marine_pump/raw/Sulzer_GWP_Pump_IOM_2026.pdf,排水泵;电机;叶轮;机械密封;轴承,不运行;低流量;间歇停机;过热;堵塞;振动;密封泄漏,是,是,是,是,很高,故障排查表能增强厂商独立性
MP010,船舶机舱泵系,Flooding and abandonment of general cargo ship Sea Breeze,MAIB,海事事故调查报告,https://www.gov.uk/maib-reports/flooding-and-abandonment-of-general-cargo-ship-sea-breeze,是但未落地,,压载泵;海水进口阀;阀执行机构,阀门卡滞;错误维修;机舱进水;应急处置失败,是,是,是,是,很高,真实船舶事故因果链，适合构造困难查询
