fault_id,name_zh,eligible_split,matched_document_count,matched_source_family_count,matched_page_count,lexical_match_count,matched_doc_ids,matched_source_family_ids,candidate_page_keys,screening_status
cavitation,汽蚀,build_train,8,4,20,32,MP001;MP002;MP003;MP004;MP005;MP007;MP015;MP016,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO,MP001:53;MP001:57;MP001:64;MP002:131;MP003:893;MP004:10;MP004:12;MP005:13;MP005:23;MP005:48;MP005:60;MP005:61;MP007:10;MP007:17;MP015:28;MP015:30;MP016:3;MP016:4;MP016:14;MP016:15,source_diverse_candidates
air_ingress_or_loss_of_prime,空气侵入或失去自吸,build_train,6,3,12,13,MP002;MP003;MP004;MP005;MP007;MP015,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP,MP002:101;MP002:111;MP003:616;MP003:643;MP003:710;MP004:11;MP004:12;MP005:60;MP007:7;MP007:18;MP015:31;MP015:32,source_diverse_candidates
hydraulic_blockage,流道、叶轮、过滤器或管路堵塞,build_train,8,4,44,102,MP001;MP002;MP003;MP004;MP005;MP007;MP015;MP016,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO,MP001:66;MP001:81;MP001:84;MP002:100;MP002:101;MP002:102;MP002:103;MP002:104;MP002:105;MP002:109;MP002:110;MP002:111;MP002:112;MP002:114;MP002:115;MP002:116;MP002:117;MP003:55;MP003:56;MP003:62;MP003:63;MP003:97;MP003:380;MP003:528;MP003:608;MP003:609;MP003:669;MP003:715;MP003:829;MP004:4;MP004:11;MP004:13;MP005:9;MP005:60;MP005:62;MP005:64;MP005:65;MP005:68;MP005:74;MP007:17;MP007:18;MP015:27;MP015:32;MP016:4,source_diverse_candidates
impeller_or_wear_part_damage,叶轮或耐磨部件磨损损坏,build_train,6,4,43,122,MP001;MP004;MP005;MP007;MP015;MP016,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO,MP001:76;MP004:5;MP004:8;MP004:10;MP004:22;MP004:24;MP004:26;MP004:28;MP004:30;MP004:32;MP004:34;MP004:36;MP005:60;MP005:89;MP005:95;MP005:116;MP005:117;MP007:30;MP015:8;MP015:18;MP015:19;MP015:32;MP015:37;MP015:38;MP015:39;MP015:40;MP015:81;MP015:83;MP015:85;MP015:87;MP015:89;MP015:91;MP015:93;MP015:95;MP015:100;MP015:101;MP015:110;MP016:2;MP016:3;MP016:4;MP016:5;MP016:6;MP016:7,source_diverse_candidates
mechanical_seal_failure,机械密封失效与泄漏,build_train,8,4,39,70,MP001;MP002;MP003;MP004;MP005;MP007;MP015;MP016,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO,MP001:69;MP001:76;MP001:77;MP002:96;MP002:99;MP002:100;MP003:321;MP003:352;MP003:376;MP004:8;MP004:13;MP005:3;MP005:13;MP005:14;MP005:18;MP005:54;MP005:55;MP005:58;MP005:61;MP005:63;MP005:64;MP005:65;MP005:66;MP005:67;MP005:68;MP005:69;MP005:89;MP005:95;MP007:12;MP007:17;MP007:30;MP015:18;MP015:21;MP015:29;MP015:32;MP015:41;MP016:4;MP016:5;MP016:6,source_diverse_candidates
bearing_or_lubrication_failure,轴承磨损、润滑不良或过热,build_train,9,4,66,107,MP001;MP002;MP003;MP004;MP005;MP006;MP007;MP015;MP016,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO,MP001:11;MP001:29;MP001:30;MP001:34;MP001:40;MP001:52;MP001:53;MP001:57;MP001:76;MP001:77;MP001:114;MP002:13;MP002:126;MP002:131;MP003:38;MP003:40;MP003:174;MP003:209;MP003:300;MP003:315;MP003:316;MP003:318;MP003:319;MP003:320;MP003:350;MP003:394;MP003:395;MP003:400;MP003:401;MP003:602;MP003:751;MP003:777;MP003:782;MP003:898;MP003:941;MP003:946;MP003:950;MP003:958;MP003:964;MP003:990;MP004:13;MP005:9;MP005:13;MP005:46;MP005:54;MP005:65;MP005:66;MP005:67;MP005:68;MP005:69;MP005:70;MP005:71;MP005:73;MP005:89;MP005:95;MP005:145;MP005:149;MP006:4;MP007:12;MP007:15;MP007:17;MP015:31;MP015:32;MP016:5;MP016:6;MP016:7,source_diverse_candidates
pump_motor_misalignment,泵电机联轴器或轴系不对中,build_train,4,2,24,37,MP001;MP002;MP003;MP004,ABS;DESMI,MP001:39;MP001:40;MP001:44;MP001:47;MP001:48;MP001:55;MP001:56;MP001:57;MP001:102;MP002:130;MP002:131;MP002:136;MP003:112;MP003:113;MP003:236;MP003:293;MP003:306;MP003:307;MP003:308;MP003:312;MP003:313;MP003:314;MP003:524;MP004:12,source_diverse_candidates
motor_electrical_drive_failure,电机缺相、过载或电气驱动异常,build_train,8,3,59,125,MP001;MP002;MP003;MP004;MP005;MP006;MP007;MP015,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP,MP001:5;MP001:40;MP001:101;MP001:102;MP002:72;MP002:94;MP002:95;MP002:136;MP003:357;MP003:360;MP003:376;MP003:377;MP003:394;MP003:396;MP003:730;MP003:734;MP003:738;MP003:754;MP003:759;MP003:760;MP003:761;MP003:775;MP003:779;MP003:787;MP003:824;MP003:840;MP003:841;MP003:863;MP003:937;MP003:956;MP003:957;MP004:10;MP005:9;MP005:16;MP005:22;MP005:24;MP005:30;MP005:49;MP005:51;MP005:52;MP005:55;MP005:57;MP005:58;MP005:60;MP005:68;MP006:9;MP006:10;MP007:2;MP007:6;MP007:9;MP007:10;MP007:12;MP007:13;MP007:15;MP007:18;MP015:16;MP015:30;MP015:31;MP015:33,source_diverse_candidates
pipe_or_valve_integrity_failure,管路或阀件泄漏、卡滞和完整性失效,build_train,8,4,88,136,MP001;MP002;MP003;MP004;MP005;MP007;MP015;MP016,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO,MP001:21;MP001:29;MP001:35;MP001:42;MP001:93;MP001:104;MP001:120;MP002:100;MP002:102;MP002:103;MP002:104;MP002:111;MP002:116;MP002:121;MP003:56;MP003:68;MP003:70;MP003:97;MP003:149;MP003:193;MP003:321;MP003:337;MP003:344;MP003:346;MP003:347;MP003:348;MP003:350;MP003:365;MP003:387;MP003:433;MP003:472;MP003:475;MP003:478;MP003:502;MP003:522;MP003:524;MP003:547;MP003:549;MP003:550;MP003:554;MP003:560;MP003:563;MP003:568;MP003:572;MP003:573;MP003:574;MP003:576;MP003:577;MP003:578;MP003:580;MP003:592;MP003:594;MP003:595;MP003:596;MP003:602;MP003:608;MP003:610;MP003:625;MP003:629;MP003:644;MP003:646;MP003:684;MP003:695;MP003:751;MP003:788;MP003:799;MP003:823;MP003:827;MP003:864;MP003:932;MP003:937;MP003:955;MP003:956;MP003:968;MP003:990;MP004:7;MP004:11;MP004:12;MP005:55;MP005:60;MP005:62;MP005:63;MP005:64;MP005:74;MP007:17;MP007:18;MP015:32;MP016:5,source_diverse_candidates
dry_running_or_maintenance_induced_failure,干运转、错误操作或维护引入故障,build_train,8,4,22,29,MP001;MP002;MP003;MP004;MP005;MP007;MP015;MP016,ABS;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO,MP001:14;MP001:24;MP001:25;MP001:29;MP001:52;MP001:57;MP002:17;MP002:61;MP003:904;MP004:10;MP005:51;MP005:52;MP005:53;MP005:62;MP005:63;MP005:67;MP007:12;MP007:17;MP015:28;MP015:29;MP015:31;MP016:4,source_diverse_candidates
