triple_id,doc_id,primary_failure,all_reasons
MPT-0033a6ae8f2275ed3a3b,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-00407a557d6dcff2de16,MP019,evidence,evidence_invalid
MPT-00486caee26542d6202e,MP015,schema_type,relation_type_invalid
MPT-004b166fa8d0dc7eb535,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0054b1b2198e8d7951ce,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-005a4c8df7a2db98e1e6,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-00785348cbeec875b786,MP015,evidence,evidence_invalid;relation_not_entailed
MPT-008773e4a95a14b3744a,MP021,relation_support,dual_qwen_relation_not_entailed
MPT-0091360635dc8925cc47,MP005,evidence,evidence_invalid
MPT-0093ee60c12ecc0eaa98,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-00989d7a1d436a769987,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-009dd82e89bb610ffca9,MP003,evidence,evidence_invalid
MPT-00b0a58134a8bf3c9a88,MP019,evidence,evidence_invalid
MPT-00b5738790bef38fe6af,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-00c0386665ce1217eade,MP005,schema_type,relation_type_invalid
MPT-00c965fe200ea7023b86,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-00c9a87dcb342acd2f22,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-00ca473c8ac6a83d96c5,MP016,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-00cb8860c8cfe9a00f58,MP002,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-00d95fb31797f4d0b4c4,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-00dfa328ac91b5a54554,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-00e283a0d718cfe8e1c3,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-00e6cd27bfaba668533a,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-00eeacf2e12cb6c538c3,MP020,evidence,evidence_invalid;relation_not_entailed
MPT-01093c4cdcfe04ffe7a5,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-010b75859080402ca028,MP007,evidence,evidence_invalid
MPT-012efc36d280ea608b02,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-014035393436da6c4057,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-016d179e38cc8f355bed,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-017512323846b9862890,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-017662e98d97a6ba2d20,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-018b96abfd210ea01e4b,MP015,relation_support,dual_qwen_relation_not_entailed
MPT-019cace049e8da279931,MP001,schema_type,relation_type_invalid
MPT-019d109187cd73bba02d,MP007,evidence,evidence_invalid
MPT-019f13d637479ab60c54,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-01ac2745e708b0a21044,MP019,evidence,evidence_invalid
MPT-01d73ecc318fc9302ce3,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-01e0cf056daa25b4f0e9,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-020e12374897da17971d,MP003,schema_type,relation_type_invalid
MPT-02112b104c56114e1d27,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-021313345742e020dfdc,MP002,schema_type,relation_type_invalid
MPT-021695fa87f1e13a71dd,MP016,schema_type,relation_type_invalid
MPT-0253437d515c8ec93c7d,MP016,schema_type,relation_type_invalid
MPT-0266d3642e4f8c623825,MP002,evidence,evidence_invalid
MPT-0272aa7dc142310069d0,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0274d60a56b87945c401,MP019,evidence,evidence_invalid
MPT-027c8d12efe5df537aef,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-028032d31a57ad81ff25,MP020,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0283b9a1ee68e53d87b2,MP015,evidence,evidence_invalid;relation_not_entailed
MPT-02862170fab90775e15e,MP018,evidence,evidence_invalid;relation_not_entailed
MPT-028f0d2bb4eb3e867a07,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-029876d1230def6694e1,MP017,evidence,evidence_invalid;relation_not_entailed
MPT-0299c73b9441958efa92,MP002,evidence,evidence_invalid
MPT-029e834bd026822114e6,MP005,evidence,evidence_invalid
MPT-02a296771b95d9827745,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-02a37f918ec03f745161,MP003,evidence,evidence_invalid
MPT-02a9f2c7e0efae865adf,MP022,evidence,evidence_invalid
MPT-02aeb5278a2ef23ffe66,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-02bac388c68c3e7c0632,MP019,evidence,evidence_invalid
MPT-02bb4bf9c0554193cc25,MP002,evidence,evidence_invalid
MPT-02c25951cdc06cbb8dea,MP007,evidence,evidence_invalid
MPT-02dd35671d15de36a308,MP003,evidence,evidence_invalid
MPT-02e1b0e540fecaa892f9,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0301c67fc83ba8baa493,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-030e729a9f91913a0508,MP016,evidence,evidence_invalid;relation_not_entailed
