fault_id,name_zh,matched_document_count,matched_page_count,lexical_match_count,matched_doc_ids,pilot_gate
cavitation,汽蚀,7,15,23,MP001;MP002;MP003;MP004;MP005;MP007;MP008,pass
air_ingress_or_loss_of_prime,空气侵入或失去自吸,5,10,11,MP002;MP003;MP004;MP005;MP007,pass
hydraulic_blockage,流道、叶轮、过滤器或管路堵塞,7,24,34,MP001;MP002;MP003;MP005;MP007;MP008;MP009,pass
impeller_or_wear_part_damage,叶轮或耐磨部件磨损损坏,4,10,16,MP004;MP005;MP007;MP008,pass
mechanical_seal_failure,机械密封失效与泄漏,7,31,49,MP001;MP002;MP003;MP004;MP005;MP007;MP009,pass
bearing_or_lubrication_failure,轴承磨损、润滑不良或过热,8,64,97,MP001;MP002;MP003;MP004;MP005;MP006;MP007;MP008,pass
pump_motor_misalignment,泵电机联轴器或轴系不对中,5,41,86,MP001;MP002;MP003;MP004;MP008,pass
motor_electrical_drive_failure,电机缺相、过载或电气驱动异常,9,69,141,MP001;MP002;MP003;MP004;MP005;MP006;MP007;MP008;MP009,pass
pipe_or_valve_integrity_failure,管路或阀件泄漏、卡滞和完整性失效,8,76,121,MP001;MP002;MP003;MP004;MP005;MP007;MP008;MP009,pass
dry_running_or_maintenance_induced_failure,干运转、错误操作或维护引入故障,6,20,25,MP001;MP002;MP003;MP005;MP007;MP008,pass
