evidence_id,claim_id,doc_id,pdf_page_number,source_family_id,schema_legal,entity_anchor,direct_relation_support,direction_consistent,non_inferred,page_grounded,provenance_complete,integrity_conjunction
MPA-071121ae17b49c3a80d6,MPC-5666ae4be86cd70e1591,MP015,19,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-ed56bd977ba8d5339c8f,MPC-a962644c054f5ed89433,MP005,9,DESMI,True,True,True,True,True,True,True,True
MPA-74ce85cfeaa63f617109,MPC-bcdbb7da87566a17aa44,MP003,375,ABS,True,True,True,True,True,True,True,True
MPA-fce4a35a32f4c0a1bf5d,MPC-5a817773beef5a53f06c,MP005,13,DESMI,True,True,True,True,True,True,True,True
MPA-9379dab93db8924c8c5a,MPC-29eecfde915d8d01c56d,MP005,58,DESMI,True,True,True,True,True,True,True,True
MPA-6b80c00e2f385cab2a50,MPC-62fde70b9e31f33de44c,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-a3c0f8552e9e41963cf6,MPC-ca26298cfc680eb696aa,MP018,2,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-ea91b593a7b8e3e3144c,MPC-f9977c102204cd22c6bb,MP001,47,ABS,True,True,True,True,True,True,True,True
MPA-2063294fb5066569b8b5,MPC-466045aa6d606c174ea6,MP022,37,ALFA_LAVAL,True,True,True,True,True,True,True,True
MPA-2b86eeea5ca5b08f5785,MPC-3390fa73669925c0db2d,MP005,55,DESMI,True,True,True,True,True,True,True,True
MPA-8f2b259d942208407839,MPC-a91e0a5d3ad0e12a7a4d,MP004,10,DESMI,True,True,True,True,True,True,True,True
MPA-b963bb9fb9f624bc0064,MPC-0f73f6236d4023339f1e,MP001,66,ABS,True,True,True,True,True,True,True,True
MPA-f51064cf3443681a8fc6,MPC-a6d85807c137c9955b51,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-e564ecea8ce7dce5322b,MPC-c36a75317de07d9d5773,MP019,16,ABB,True,True,True,True,True,True,True,True
MPA-ac9e38fc59cce5c6353f,MPC-30386d98b156afa13195,MP003,365,ABS,True,True,True,True,True,True,True,True
MPA-365ea2f03fb767f89178,MPC-e4184c1c30119873c6fd,MP005,54,DESMI,True,True,True,True,True,True,True,True
MPA-c0412fe2011796d912f7,MPC-be8b754af82e2580a8f6,MP005,67,DESMI,True,True,True,True,True,True,True,True
MPA-ec90cbe3044345a7bd3f,MPC-466045aa6d606c174ea6,MP022,18,ALFA_LAVAL,True,True,True,True,True,True,True,True
MPA-f81206782af749202a6b,MPC-1707cf6b52a22e723061,MP001,66,ABS,True,True,True,True,True,True,True,True
MPA-41238eeefdef947b5f30,MPC-a4a9736d9a3f78884a0d,MP001,47,ABS,True,True,True,True,True,True,True,True
MPA-ff2fc306ca23a27f8ba5,MPC-f9b161aaf6f44d3ee5d4,MP005,80,DESMI,True,True,True,True,True,True,True,True
MPA-b64bab5620ed61e5f5b2,MPC-1bd93fc8b4239c9ff79a,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-f9d1b241f27faa875fca,MPC-11048ebfa7791f92334d,MP018,20,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-017e4ec6eeb0952fbe2c,MPC-e8776bd1b2348ed37e74,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-23dde5a8f7e9f0ecc2f8,MPC-36747723ee45d8d1a897,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-4e4f9c5122253a165f90,MPC-bac2825f8143d0e5f6a1,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
