doc_id,file_name,title,publisher,source_family_id,source_url,pages,bytes,sha256,source_tier,primary_use,pump_type,service,applicability_scope,retrieved_at
MP001,ABS_Equipment_Condition_Monitoring_2016.pdf,Guidance Notes on Equipment Condition Monitoring Techniques,ABS,ABS,https://ww2.eagle.org/content/dam/eagle/rules-and-guides/current/design_and_analysis/224-GN-EquipCndMonitoring/Equipment_Condition_Monitoring_GN_e.pdf,122,10219576,47532659F8CCBE399ACC021F16DD1165935E90967B9B0A38CEDB97B0F07AC2E1,A,监测方法;报警阈值;维护决策,mixed_rotating_machinery,marine_machinery_condition_monitoring,泵系证据仅限文中明确适用于泵或通用旋转机械且机理可迁移的陈述,2026-07-15
MP002,ABS_Machinery_Reliability_Maintenance_2023.pdf,Guide for Surveys Based on Machinery Reliability and Maintenance Techniques,ABS,ABS,https://ww2.eagle.org/content/dam/eagle/rules-and-guides/current/survey_and_inspection/121-guide-for-surveys-based-on-machinery-reliability-and-maintenance-techniques/MRM_Guide_e-Jan23.pdf,137,6046961,A7208F9E153F4A6DE5A850AD2C23503A4ACAE047EC02F3E7E34AD5319EF85D2F,A,部件失效模式;维护策略,marine_machinery,machinery_reliability_and_maintenance,仅保留能明确映射到泵系部件或维护过程的证据,2026-07-15
MP003,ABS_Marine_Vessel_Rules_Part4_2021.pdf,Marine Vessel Rules Part 4 Vessel Systems and Machinery,ABS,ABS,https://ww2.eagle.org/content/dam/eagle/rules-and-guides/archives/other/1_marinevesselrules_20211/mvr-part-4-jan21.pdf,991,13828578,D32DFA57DA246C016A74B196394A9BFA93A7F94485E8DF768F397482D4C4E507,A,船舶泵管系要求;报警和保护,marine_pump_and_piping_systems,marine_vessel_systems,仅保留泵管系及其报警保护章节的原文证据,2026-07-15
MP004,DESMI_SA_Self_Priming_Pump_T1345.pdf,DESMI SA Self-priming Centrifugal Pump Operation and Maintenance Instructions,DESMI,DESMI,https://www.desmi.com/media/4num3fbn/t1345uk.pdf,37,2189513,86AA8D090C314CDB6579C5F1EEC353F6F1EE45E8BD74F521FE29AD1F05AF1609,A,故障-原因-措施表;检查维护,self_priming_centrifugal_pump,marine_and_industrial_pumping,优先适用于DESMI SA型自吸离心泵;跨泵型迁移必须保留泵型约束,2026-07-15
MP005,DESMI_NSL_Pump_T1542.pdf,DESMI NSL Monobloc and Spacer Operation and Maintenance Instructions,DESMI,DESMI,https://www.desmi.com/media/dx1lnug1/t1542uk.pdf,152,12885333,B88E454110CFE5FE8E990C701960DA8CBE59F53D48887454502D226A25DBCB7A,A,船用泵应用;故障排查;部件维护,centrifugal_pump,marine_cooling_bilge_ballast_and_fire_service,优先适用于手册列明的NSL船用离心泵应用,2026-07-15
MP006,DESMI_Pump_Installation_Guidelines.pdf,Guidelines for Pump Installation,DESMI,DESMI,https://www.desmi.com/media/sd5ltlox/guidelines_uk.pdf,12,535285,A9EEFAD74A30658283F95C36EC477693BA8AB482471290CF12CAE69C95F764F3,A,安装原因;不对中;管路应力;汽蚀预防,centrifugal_pump,pump_installation,安装机理可用于相同结构泵组;不得扩展为所有泵型的故障事实,2026-07-15
MP007,DESMI_Vertical_Multistage_T1536.pdf,Vertical Multistage Centrifugal Pump Operation and Maintenance Instructions,DESMI,DESMI,https://www.desmi.com/media/c35h1n0d/t1536uk.pdf,31,1648971,473B10F49E311BB79565D1132023B518E1E9BD90A1887740648009B17909101B,B,多级泵故障排查,vertical_multistage_centrifugal_pump,water_pumping,仅适用于立式多级离心泵及明确可迁移的通用部件关系,2026-07-15
MP008,Grundfos_Fire_Pump_Instructions.pdf,Grundfos Firefighting Systems Installation and Operating Instructions,Grundfos,GRUNDFOS,https://api.grundfos.com/literature/Grundfosliterature-2965227.pdf,36,3391768,F4C494878CFA3E171872BACC624D51BDE3EFFC8D26BC2FE645BB1DE5B1E19ABD,B,跨厂商故障-原因-措施佐证,fire_pump_system,firefighting_system,开发集专用;不得补足构建集覆盖,2026-07-15
MP009,Sulzer_GWP_Pump_IOM_2026.pdf,Sulzer GWP Pump Installation Operation and Maintenance Instructions,Sulzer,SULZER,https://www.sulzer.com/-/media/files/products/pumps/submersible-pumps/product-information/submersible-light-and-medium-duty-pumps/submersible-drainage-pump-gwp/manuals/310190201001_en_00.pdf,23,6290007,61C40059327EABDB5D94705AB1C30BBA42C3614865D6763A471392BC2FE47C15,B,排水泵故障排查;跨厂商验证,submersible_drainage_pump,drainage,保留测试集专用;不得调节提示词规则或覆盖门槛,2026-07-15
MP010,MAIB_Sea_Breeze_Report_14_2015.pdf,Flooding and abandonment of general cargo ship Sea Breeze,Marine Accident Investigation Branch,MAIB,https://assets.digital.cabinet-office.gov.uk/media/55893ad940f0b615b600001e/MAIBInvReport-14_2015.pdf,42,1883693,27A6FC8476D7F4AB9F2C70DCC0E1E609F0A2F6DB6C02474CBA1F68D595124883,C,冻结外部测试查询;维护引入故障与阀件失效事件链,marine_ballast_pump_and_valve,engine_room_flooding,保留测试集专用;方法冻结前只允许文件级封存;不得进入主图谱或调参,2026-07-26
MP011,MAIB_Ocean_Quest_Report_03_2021.pdf,Flooding and foundering of fishing vessel Ocean Quest,Marine Accident Investigation Branch,MAIB,https://assets.publishing.service.gov.uk/media/606caccdd3bf7f400cd5c129/2021-03-OceanQuest-Report.pdf,12,1105537,EC9635CCB6A35A45434B8E391B4C0887EB0F31BA03F912B7B956EDF7B1B3DD4D,C,冻结外部测试查询;泵送处置与失效事件链,general_service_and_portable_pumps,engine_room_flooding_response,保留测试集专用;方法冻结前只允许文件级封存;不得进入主图谱或调参,2026-07-26
MP012,MAIB_Freedom_II_Report_08_2026.pdf,Foundering of fishing vessel Freedom II,Marine Accident Investigation Branch,MAIB,https://assets.publishing.service.gov.uk/media/69ca6e08b111d64c49bb3d23/2026-8-FreedomII-ReportAndAnnex.pdf,37,1364168,7AB9778E695424DAC847875125BDF3EFA1B672FDB324A4EC12D546C452BEE4CC,C,冻结外部测试查询;振动断裂泄漏与泵能力事件链,marine_bilge_pumping_system,foundering_and_flooding,保留测试集专用;方法冻结前只允许文件级封存;不得进入主图谱或调参,2026-07-26
MP013,MAIB_Speedwell_Report_01_2014.pdf,Foundering of fishing vessel Speedwell,Marine Accident Investigation Branch,MAIB,https://assets.digital.cabinet-office.gov.uk/media/547c6f35e5274a4290000015/Speedwell.pdf,12,2424876,ED0232E1EBCCB62EC3E630858CFCD4BE71133CCA09C90B12B982697B0808959C,C,冻结外部测试查询;舱底泵与报警失效事件链,bilge_pump_and_alarm,fishing_vessel_flooding,保留测试集专用;方法冻结前只允许文件级封存;不得进入主图谱或调参,2026-07-26
MP015,SPX_Johnson_Pump_FreFlow_Instruction_Manual.pdf,FreFlow Horizontal Centrifugal Pump Instruction Manual,SPX FLOW / Johnson Pump,SPX_FLOW__JOHNSON_PUMP,https://www.spxflow.com/assets/original/johnson-pump-im-fre-gb.pdf,113,4769535,D8C1C2EF24CF96EB8063884F7C50837A0B0B99DFF843FD0C98B232A6C30CE392,B,独立来源故障排查;维护;叶轮密封轴承证据,horizontal_self_priming_centrifugal_pump,general_liquid_pumping,通用泵厂商资料;用于补充可迁移泵机理但不得自动声称船舶现场特异性,2026-07-25
